sentence,intention
两三分钟吧,描述症状
手术后非常好勃起正常??就是吃药就不勃起了??这和手术后没什么音响吧！,描述症状
刚好我明天去医院，我检查一下吧，谢谢您了,确定预约时间
吃什么会导致性无能，有哪些注意嘛,咨询食疗
医保报销吗,无
这个要手术吗？,咨询治疗方式
还得上班呢,无
可以电话吗,咨询电话
以前有不良习惯导致现在情况不太好,描述症状
坐东路线有吗,咨询路线
他说想找个 医生沟通下,咨询专家
坐地铁的话西单哪个口出呢】,咨询路线
管用吗这个,咨询疗效
韧带超级硬,描述症状
那这是怎么回事,咨询病因
不过性生活对身体没影响是吧,咨询后果
龟头炎吃什么药效果好啊,咨询药物
我在天津,无
会不会导致什么,咨询后果
你个医院还是国营医院,咨询公立私立
是咋回事,咨询病因
挺远的,无
什么药物可以控制,咨询药物
支原体女性，多长时间能好,咨询治愈时长
能治愈吗？,咨询疗效
是的我离婚了，检查说是慢性前列腺炎,描述就诊史
我的微信号是手机号,确定联系意愿
右边睾丸开始没那么硬，现在感觉硬多了，伴右边肚子疼,描述症状
我还是未成年可是以前性关系好多次了对以后会有影响吗,咨询后果
我明天给你打电话吧,确定联系意愿
1867962****我手机号,确定联系意愿
你们医院的医生有一个正经的么,咨询专家
男人吃什么精子多,咨询食疗
QQ2092441467,确定联系意愿
真的没有骗您,无
QQ2510933375,确定联系意愿
你们医院能用医保吗,无
每次大概20到30分钟之间吧。,描述症状
市医院,无
去过协和医院了，他们说治疗几例不成功，让转院,描述就诊史
我从事塑料加工，经常上夜班，一上就是半个月,无
在哪里呀？可医生吿诉我说是小手术，,描述就诊史
那微信上说,确定联系意愿
1381137****直接加,确定联系意愿
en,无
我想在家先用些荮又不知道用什么药我们小镇上的医生能有什么水平,咨询药物
都做啥检查,咨询检查
费用高吧,咨询价格
遗精怎么办？,咨询治疗方式
还有多久出结果,咨询检查
来北京没几天,无
会有什么问题吗,咨询后果
451585978?QQ???1554444****?weixin,确定联系意愿
可以补肾,无
五天手淫一次吧,描述频率
要命,无
没有啊?只是问问?觉得有点痒,描述症状
晨勃很好,描述症状
微信，1443105227,确定联系意愿
2到3次,描述频率
我在北京房山区,无
你们医院在哪,咨询地址
全医生在吗？,咨询专家
一个加,无
多长时间治疗,咨询治愈时长
下来再联系,确定联系意愿
我现在出差在北京，过几天回家就做，,无
吃什么可以补充男性激素？,咨询食疗
一般治疗多长时间可以怀孕,咨询治愈时长
会影响生育？,咨询后果
做完包茎手术后多长时间可以拆绷带,咨询治愈时长
1502764****，高先生，唐山人，30岁，请回个电话，谢谢了,确定联系意愿
咱们医院是走医保的吗,无
怎么解决,咨询治疗方式
以前做过手术现在复发了,描述就诊史
什么原因引起的,咨询病因
进去就想射,描述症状
你们下午几点上班,咨询上班时间
有晨勃是正常，还是不正常啊,咨询生理现象
笫九天了,无
那需要怎么调整呢,咨询治疗方式
包皮过长会影响性生活吗,咨询后果
可以治好吗,咨询疗效
我的什么问题都没有的。就是不硬的时候?就包起来?做爱的时候?3到5分钟就射的了,描述症状
我这情况是什么原因？,咨询病因
公立啊,咨询公立私立
你的意思，是先检查病因,咨询检查
加好友吧,咨询微信
传染吗,咨询传染
你们医院大夫黄大夫可以发名片,咨询专家
我加了你的微信,确定联系意愿
昌平有分部吗,咨询公司介绍
我刚32性欲不是很强，一个星期才想做一次,描述频率
你们医院达不到三甲吧！应该也不是公立医院，,咨询公立私立
刚射精液的时候是血红色的，是什么原因,咨询病因
如果做了手术多久可以恢复正常的性生活,咨询治愈时长
我想到你们医院看病,确定预约时间
现在不方便电话,确定联系意愿
怎么能治吗,咨询治疗方式
一年多了，时好时犯,描述症状
算了不咨询了,无
割包皮的多少时间能好啊,咨询治愈时长
一般检查什么,咨询检查
打电话也可以,确定联系意愿
去哪里检查？,咨询检查
您能告诉我怎样的做爱姿势容易让女性达到高潮？,无
请问能买药吗,咨询药物
射精痛是怎么回事,咨询病因
跟性生活有关系吗,咨询病因
在贵院看前列腺病，医保能报一些吗,无
厘米,无
本打算去济南????因为离得不远,无
1836666****我微信号，,确定联系意愿
建院多少年了,咨询公司介绍
精液检查前一个月没有性生活影响吗？,咨询检查
阳痿早泄方面的专家，下午有吗？,咨询专家
我撸管几分钟就射，怕以后性生活会不好，怎么办,咨询治疗方式
我今天做了那个静脉血管破损的微创手术可是我觉得他家的特别贵，药物也特别贵。我就想问问一般这个手术需要多少钱,咨询价格
这病传染吗,咨询传染
邱医生您好,无
你们是正规的医院吗,咨询公立私立
坐86路车？,咨询路线
你好，我扣扣2505756839,确定联系意愿
需要做手术吗,咨询治疗方式
微信1314666****,确定联系意愿
性生活2次左右手淫大概3次吧,描述频率
挂号什么科呢？男科？,咨询挂号
上班，但不吸烟不喝酒,无
1763729****，医生，这是我的微信,确定联系意愿
加我qq,确定联系意愿
重度还能治疗好吗,咨询疗效
做地铁能直接到哪,咨询路线
怎么了？,无
加QQ吧行吗,咨询QQ
目前就是,无
太远了，去不了啊,无
是病吗,咨询项目介绍
发育期间一星期一次撸管过度吗,描述频率
阴茎经常勃起,描述症状
1520148****我微信,确定联系意愿
这是专科医院吗,咨询公司介绍
你好，你们医院是医保医院吗,咨询公司介绍
我上班的,无
咱们医院地址在哪？？,咨询地址
这是微信号。,确定联系意愿
我有什么在给你聊,无
这些与我的生活习惯有关系吗,咨询病因
我就是不了解我这个算不算,无
我有车,无
可以维持10分钟,描述症状
如果不治疗会怎么样,咨询后果
对对果冻,无
这是您的电话？,咨询电话
影响吗,咨询后果
公立还是私立,咨询公立私立
好几年了,无
一般的话两个周一次放假的话大约四五天一次,描述频率
毕竟这个岁数了去医院看这个病有点丢人,描述情绪
想问一下服用点什么药可以好一点呢,咨询药物
有什么好的治疗方案吗,咨询治疗方式
如果我接受治疗了?能矫正直么,咨询疗效
龟头痒怎么回事？,咨询病因
没在他们医院他们肯定不会给好好看的,无
我加你上面的qq可以吗,咨询QQ
有遗精的现象,描述症状
这是我的扣扣号,确定联系意愿
那需要多久呢？手术,咨询治愈时长
我想做一个不用拆线的的多钱,咨询价格
我生病了你还这么说,无
你给我打吧,确定联系意愿
我这样好尴尬,描述情绪
检查什么,咨询检查
吃什么东西能再次发育呢,咨询食疗
那该怎么办呢,咨询治疗方式
晚点打我电话聊吧1330738****,确定联系意愿
贵医院可以用医保吗？,无
怎么接,无
哦，有点远啊,无
就是问一下什么感觉是射精,咨询生理现象
包皮手术缝合订多久可以拆除,咨询治愈时长
后沙峪,无
割完包皮需要多长的恢复期,咨询治愈时长
咱们医院放假了吗,咨询上班时间
遗精怎么治疗,咨询治疗方式
开学前去手术，天这么热会不会发炎呀,咨询后果
做什么检查能化验出来,咨询检查
割包皮费用,咨询价格
600就够了吗,咨询价格
吃什么药好一点,咨询药物
我用的别人手机,无
他说要喝一些活血化瘀的中药，是么医生,咨询药物
是不是什么东西叮的呢，,咨询病因
有那些影响,咨询后果
还有吃哪些对前列腺好啊,咨询食疗
补肾吃啥,咨询食疗
这是我微信,确定联系意愿
没有阳痿现象,描述症状
手术后能增长多少,咨询疗效
都有,无
吃什么药合适？,咨询药物
检查费多少,咨询检查
那该咋办,咨询治疗方式
恁是什么医院正规吗,咨询公立私立
我手淫一周两三次，我才13岁有什么问题吗,描述频率
现在应该咋办,咨询治疗方式
新兴医院,无
咱们是哪个医院,咨询公司介绍
在一起住，但我们现在都各自上班,无
我加过好几个北京的,无
没什么影响?觉得?一般在十多分钟吧?勃起正常,描述症状
那大概花多少钱,咨询价格
能正常社保报销吗,无
医院是公立的还是，私立的,咨询公立私立
这是我的电话,确定联系意愿
大概多长时间能治愈好,咨询治愈时长
医院我还是相信的，就是能不能治好我还不敢确认,咨询疗效
逐渐下降，请问能吃什么东西能够补回來？,咨询食疗
有点黑,描述症状
你那怎么坐车过去,咨询路线
噢噢好的，那做这个激素六项检查需要大概多钱呢,咨询检查
我加您微信,咨询微信
早泄要吃什么药,咨询药物
包皮手术后几天可以抽烟,咨询治愈时长
严重的，需要治疗几个疗程,咨询治愈时长
这医院不正规吗,咨询公立私立
多少我加你,咨询微信
那您看我是不是直接去你们医院看,确定预约时间
影响以后吗？,咨询后果
qq???524851560,确定联系意愿
手术大约需要多久,咨询治愈时长
都是感染才能引起呗,咨询病因
加我，1861291****,确定联系意愿
治疗男性功能障碍最权威的大夫是谁,咨询专家
多少钱在你的医院,咨询价格
您好吗,无
都有点不好意思,描述情绪
11点以前,无
医保可以吗,无
别的什么感觉都没有，性生活也很和谐,描述症状
这里是307男科医院？,咨询公司介绍
好的！谢谢您！咱们位置在哪,咨询地址
我加你了,确定联系意愿
有时候一天三次,描述频率
不在了，你给推荐点药吃吧,咨询药物
那吃什么管用，提个建议白,咨询食疗
是私立医院，不走医保,咨询公立私立
在医生,无
我一会要上班了,无
我一会问问我车上的大夫吧,无
加QQ了,确定联系意愿
我把我的情况给你说下吧,无
也没谈女朋友,无
你好?请问一下?我脖子后面左侧?起了一个硬包怎么回事啊医生,咨询病因
前几天发烧之后感觉有这种情况,描述症状
坐车多少路,咨询路线
阳痿早泄方面的，那个专家好。,咨询专家
北京医学院男科总院是公立的吧,咨询公立私立
我有你电话，要是感觉还行我直接过去，到时候打你电话,确定联系意愿
该怎么解决呢,咨询治疗方式
治疗好了，大概要多久呢,咨询治愈时长
请在此输入文本或者粘贴QQ截图,无
这种情况可以吃药解决吗？,咨询治疗方式
我是在朝阳区这边的,无
不能性生活,描述症状
我没QQ,确定联系意愿
上班就行,无
你们哪里能治好吗？,咨询疗效
那做什么检查,咨询检查
不好意思发错了,无
你告诉我一下，怎么才可以好，还是吃什么？,咨询治疗方式
您说我吃对肾有影响吗？,咨询后果
有什么副作用么,咨询后果
正常的,无
微信1368113****,确定联系意愿
嗯也是微信,确定联系意愿
伍,无
以前都是一周两次或一次?就这两天连续手淫了,描述频率
术后恢复的哪个最好看,咨询疗效
7---8,无
一般吃什么呢,咨询食疗
需要怎么治理呢,咨询治疗方式
好像是戒三个月慢慢恢复吗,无
少吃肉,咨询食疗
我的睾丸太小,描述症状
QQ793083260,确定联系意愿
我想询问下??术后吃点什么东西对伤口有好处,咨询食疗
尿痛忌什么水果,咨询食疗
治疗大约需要多少费用,咨询价格
您是主治大夫吗？,咨询专家
你好是北京的吗,咨询地址
蛋疼是怎么回事,咨询病因
给我微信号吗,咨询微信
解决临时问题麻烦推荐一下药,咨询药物
曙光医院地铁到那下车啊,咨询路线
我每天都洗澡啊怎么还有这情况啊,咨询病因
我以前有慢性前列腺炎症,描述症状
这个病严重吗,咨询后果
我能每天撸一次吗？,描述频率
qqwx110119120,确定联系意愿
好的，明天加你微信，今天就不打扰你了,确定联系意愿
孙紫，手机：1390712****,确定联系意愿
那我应该怎么办？会好,咨询治疗方式
勃起是可以的，就是射精快,描述症状
我在外地上班,无
听到一些声音或想到一些就会勃起,描述症状
你好怎么发图片,无
能恢复吗,无
那要是去医院怎么检查,咨询检查
检查一般要多钱,咨询检查
我在廊坊这边,无
平时洗澡都会上翻清洗的,无
好了不说了，我得上班了,无
好的?那过年那几天有上班没,咨询上班时间
电话1357205****加微信,确定联系意愿
刚有，结石，我之前有过一次，四月份检查没有了,描述就诊史
加你微信了,确定联系意愿
一个多月了，一直看呢,描述症状
你们位置在那,咨询地址
你好医生，,无
都比较尴尬,描述情绪
药物可以吗手术需要多长时间,咨询治愈时长
请问您口交会得性病么,无
男科医院都是为了挣你钱，别傻了,无
不想,无
一般不用手术治疗吧,咨询治疗方式
您微信号是多少,咨询微信
你直接告诉我吃啥,咨询食疗
你好，我40岁，想做环切，大概多少钱，多久能恢复,咨询价格
肚脐下面疼痛5天,描述症状
1991719062QQ,确定联系意愿
晨勃还有的,描述症状
男科专家是谁,咨询专家
在北京上班,无
为什么地坛医院，世纪坛需要十天到半个月,无
三千块钱能维持几天治疗,咨询价格
我相信刚刚我所说的症状任何有道德的医生都不可能会说是器质性问题,无
哈哈，你这大夫有意思,无
以前有,无
怎么治疗,咨询治疗方式
可以治好吗？,咨询疗效
做包皮手术多久好,咨询治愈时长
1年,无
有我是开车的,无
引起的,无
开车坐的长一点，不熬夜,无
嗯??怎么回事,咨询病因
我做了就是不知道几天可以拆线,咨询治愈时长
怎么挂号,咨询挂号
一天一次，这两天一直没弄,描述频率
一个疗程多少钱,咨询价格
仪器治疗贵吧,咨询价格
具体有几种，哪一种效果比较好,咨询疗效
没办法,无
有这么快有效果了？,咨询疗效
一天两次,描述频率
那不在了，当时医师写的是双睾丸太小,描述就诊史
有时老听别人说能干那么久，所以才问问看的,无
您好。我老公腿疼麻怎么回事,咨询病因
你是马医生吗?,咨询专家
多长时间能恢复,咨询治愈时长
有点远，不便,无
你这医院是正规的吗,咨询公立私立
这里是男科？,咨询公司介绍
后悔死了,描述情绪
门诊上？还是医院里边？,无
做完包皮手术，需要观察多长时间？,咨询治愈时长
怎么收费的啊、做尿动力有痛吗、对身体有影响吗,咨询价格
我在开车一会打给你,确定联系意愿
我在丰台,无
医院在北京那个区坐几路车,咨询路线
水果之类都能吃什么,咨询食疗
加你也没用?我也不能代替去看,无
你手机号,咨询电话
治好后有没有复发的情况,咨询疗效
qq.????1494961164,确定联系意愿
你好。医生,无
手术完了就抽没有什么事情吧,咨询后果
地址是,咨询地址
好的我把电话记下了,确定联系意愿
我加你微信吧还是,咨询微信
先用点啥药呢代夫,咨询药物
打给您,无
能不能治愈?,咨询疗效
睡觉的时候自己射精,描述症状
对，差不多,无
看了,无
医院的位置,咨询地址
我还是周末到您那看看去吧,确定预约时间
2级甲等医院,咨询公立私立
民营医院,咨询公立私立
有时候硬不起来吃什么药,咨询药物
最多2-3分钟,描述症状
898425020q,确定联系意愿
我经常勃起,描述症状
每次手淫也是1分钟完事,描述症状
妁的！,无
包皮环的手术收费标准都有多少，,咨询价格
是不是睾丸炎,咨询项目介绍
手术后多长时间恢复,咨询治愈时长
性功能下降吃什么,咨询食疗
术后有没有注意事项,无
我在房山,无
包皮手术时间多久呢,咨询治愈时长
还是平时吃什么好,咨询食疗
可以解释一下为什么没效果吗,咨询疗效
我们这里车不方便,无
我现在在上班呢,无
多少钱??能看好,咨询价格
您告诉我咋走就行了,咨询路线
哦，邓医生好,无
可以治疗好吗？,咨询疗效
手术上午做比较安全放心,无
现代男科医院,无
我旁边就有医院,无
我加您了,确定联系意愿
需要怎么治疗那,咨询治疗方式
没做其它的检查,描述就诊史
我可以加你吗,咨询微信
很久,无
那我这是怎么回事,咨询病因
你有扣扣吗,咨询QQ
29岁，目前硬起来有12公分左右吧,描述症状
手,无
没有???用什么药物好呢,咨询药物
疝气怎么引起的,咨询病因
出租司机，这不知道。,无
在房山区，这么远,无
我想看看价格表,咨询价格
做完了龟头炎会好吗,咨询疗效
医院位置,咨询地址
不是，想备孕了就去检查了,咨询检查
你是那个医院,咨询公司介绍
QXN1297392089,确定联系意愿
一般会花费多少,咨询价格
咱家是三家医院么，能公费么,咨询公立私立
检查前需要注意什么吗,咨询检查
这个怎么治疗比较好,咨询治疗方式
您好，我经常晚上睡觉平躺着肚子拉着疼特别难受是怎么回事,咨询病因
那药大部分也不在医保范围内吧,无
一般做个这方面的检查需要多长时间，当天检查能出来结果吗,咨询检查
19周岁、割包皮大概多少钱,咨询价格
直接去医院,无
后枕部头皮起了很多包 是怎么回事呢,咨询病因
北京藏医院,无
可以的话 方便 可以电话交流吗,咨询电话
4个月之久了,无
我电话是1390136****,确定联系意愿
加我手机号1573295****,确定联系意愿
三甲医院可以检查吗？,咨询检查
哦哦，需要做什么检查吗,咨询检查
费用得多少,咨询价格
现在是一星期2次吧,描述频率
我家孩子13岁了，用做包皮手术吗,咨询项目介绍
能说一下医院的地方吗？,咨询地址
有时都加班,无
根治吗,咨询疗效
您是医生吗,咨询专家
前门有22路车吗,咨询路线
是正常性生活,无
还不到一个月呢！在恢复期间不流液体了，这两天恢复的好了，又开始流,描述症状
麻烦加我一下吧,确定联系意愿
爸妈年龄大了，今天害怕的我都哭了,描述情绪
那个不能随便吃吧,咨询食疗
有没有专家！！想尽快看好,咨询专家
大夫你说话了呀,无
你们在什么地方,咨询地址
尿道炎输液需要多少费用？需要输多少天？,咨询价格
五十了阳尾好治吗,咨询项目介绍
激光两次,描述就诊史
有，费用贵吗,咨询价格
那你们那割包皮的费用,咨询价格
公立医院吗,咨询公立私立
你是曙光医院的,咨询公司介绍
有什么药推荐得,咨询药物
你医院是公立的吗,咨询公立私立
治疗后能达到正常水平吗,咨询疗效
需要怎么检查,咨询检查
张家口二医院能网上挂号吗？,咨询挂号
男，28,无
我加你了，,确定联系意愿
没有，能勃起,描述症状
有点什么药啊,咨询药物
QQ3499333273,确定联系意愿
能通过饮食方面解决么？?因为用药不方便,咨询治疗方式
你们医院在哪里,咨询地址
有几次了,描述频率
频繁的话一天三四次,描述频率
要治疗很久吗,咨询治愈时长
做包皮全程会有女医生嘛,无
会有什么影响,咨询后果
有什么好的药物可以治疗吗,咨询药物
可以走医保吗,无
一般治疗多久有效果,咨询治愈时长
在哪个口出合适,咨询路线
现在在上班、谢谢你了,无
后续还需要继续检查么,咨询检查
需要提前预约不,确定预约时间
1831009****微信,确定联系意愿
有过一两次,描述频率
是药物，还是手术,咨询治疗方式
我想问一下二楼10号房间刘主任在吗,咨询专家
能电话吗？,咨询电话
不是私立，我不信，建国同济都是，曙光不是,咨询公立私立
我有新港，今天去医院，大夫说很低有危险是吗？,描述就诊史
医院在那,咨询地址
跟脚气有关系吗,咨询病因
睾丸炎这个的能彻底治愈吗？,咨询疗效
我有qq,咨询QQ
检查过没治过,描述就诊史
好的?请问这个能治愈吗,咨询疗效
q2648883851,确定联系意愿
电话吧,咨询电话
有影响吗,咨询后果
实在不行我就直接到你们医院去一趟,确定预约时间
手术前检查，和手术后消炎需要多少钱,咨询价格
QQ吧,咨询QQ
有什么方法改善呢,咨询治疗方式
同济医院,无
不一定我上班呀,无
你讲讲术后,无
那我先挂个号吧,咨询挂号
怎么称呼您,无
是吃药还是,咨询治疗方式
治疗到好。多少钱呢？^_^,咨询价格
你给我说说怎么检查啊,咨询检查
我就大概问一下。等有时间我还是会直接去医院检查的。,确定预约时间
直接通电话可以吗,咨询电话
因上班时间紧，没有太多的时间。,无
请问是什么原因啊,咨询病因
就给了点药吃了，不能做其它的治疗，因为骶骨有个支架,描述就诊史
民营医院，都是这样,无
是公家医院还是私人,咨询公立私立
你们医院是公立三甲医院吧,咨询公立私立
好吧。手术要多久才能做完,咨询治愈时长
是私人医院吗？,咨询公立私立
你好，术后轻微水肿可以食疗吗？,咨询食疗
一年左右,无
去英国说无法治愈,描述就诊史
请问手术后什么时候能好线多久脱落,咨询治愈时长
怎么改善,咨询治疗方式
一百块钱做一次前列腺炎治疗，能不能,咨询价格
有时候一个多月1次,描述频率
今天下午开始一直发麻,描述症状
基本上是四五天一次,描述频率
为什么做完一边疝气手术另一边又有了,咨询病因
谢谢，您也早点休息，晚安,无
你微信号,咨询微信
不用，我会去医院找你的,确定预约时间
术后多长时间恢复,咨询治愈时长
吃什么补,咨询食疗
没有做爱,无
做个包皮手术??需要做哪些检查啊,咨询检查
治疗下来大概需要多少钱,咨询价格
如果公共澡堂,无
手术费用一般是多少？,咨询价格
是杨主任吗？,咨询专家
有什么办法调理？,咨询治疗方式
怎么预约挂号呢？,咨询挂号
加个微信可以吗？,咨询微信
哥?你几分钟,无
去医院挂什么科,咨询挂号
那我加您,咨询微信
贵院今天营业吗,咨询上班时间
吃枸杞行吧,咨询食疗
那检查的话应该查什么呢,咨询检查
qq:2762066342,确定联系意愿
到哪里预约就好了,确定预约时间
会不会影响生育,咨询后果
夜里不休息吗？,无
无精吃什么可以生精,咨询食疗
不是我，是别人,无
加一下微信,咨询微信
药物多少天,咨询治愈时长
1809346****微信,确定联系意愿
那严重吗,咨询后果
做手术前都需要检查什么吗,咨询检查
给我打电话吧,确定联系意愿
那你打给我吧,确定联系意愿
吃啥药能行,咨询药物
几分钟就完事了,描述症状
勃起11,描述症状
几个月了吧,无
那我需要怎么做到吃药么,咨询治疗方式
前几天我老公大腿内侧起了个包，是软得，喝了药也不见散，请问这是啥原因引起得,咨询病因
你微信多少,咨询微信
23 ?JB疼,描述症状
男人吃什么才能使性功能恢回,咨询食疗
总治疗是多久,咨询治愈时长
会很严重吗,咨询后果
想让弄点药,咨询药物
具体检查什么，请指教,咨询检查
早泄吃啥食物能改善,咨询食疗
微信449053738,确定联系意愿
大致治疗需要多长时间,咨询治愈时长
没有具体全面的检查过,描述就诊史
下了地铁就到了吗,咨询路线
您看看吃点什么可以补补,咨询食疗
多的时候一天三次都有的,描述频率
我昨天在外地做了个降敏感手术，来北京出差想找个医院换药,描述就诊史
需要做什么检查？,咨询检查
不到那家医院好,咨询公司介绍
以前比这好一点，现在就这样了,描述症状
加扣扣可以吗,咨询QQ
我尿频尿急吃什么药呢,咨询药物
一分钟挺不上，尿滴沥，有时候腰疼，,描述症状
会是什么原因呢,咨询病因
你好！我找网络部负责人，熊掌号关键词优化且保证排名，地区独家合作！?????QQ:1418192878??宁小天,无
可以吃点啥药,咨询药物
爱爱时较明显，这是不是也会影响到夫妻生活,咨询后果
如果在医院做什么检查好,咨询检查
就在这里聊吧,确定联系意愿
男性什么时候会变声,无
在这里上班,无
一个月打飞机3次没事吧,描述频率
给我挂个号,咨询挂号
你在那个医院？,咨询公司介绍
最近一周一次,描述频率
你的男科医院在哪？,咨询地址
好的，微信1501140****,确定联系意愿
只有QQ呢,咨询QQ
做完我还得自己开车回家,无
大腿内侧有湿疹，用什么药,咨询药物
我想问一下，如果治疗时间呢？我只有一个星期就有一天时间,咨询治愈时长
没几天啊,无
别了,无
有什么后遗症吗,咨询后果
把门的医院图片给发一张,无
我加你把,咨询微信
1836858165???qq,确定联系意愿
谢谢先不用了等明天本人来了直接去吧,确定预约时间
北京曙光医院的具体地址在哪里,咨询地址
我加你,咨询微信
现在上班的呢，不方便,无
哦哦哦?一半恢复期要多久,咨询治愈时长
48通州露河医院,无
咋们医院属于三甲医院吗,咨询公立私立
医生你好！腹股沟酸溜溜的，是否对爬楼梯影响。,咨询后果
像这种情况可以治好吗,咨询疗效
就是问问得多长时间能治好,咨询治愈时长
勃起是10厘米有时候11厘米,描述症状
最多需要多少呀,咨询价格
这个包皮切除完之后会好吗,咨询疗效
那吃什么药啊？,咨询药物
又安全的,无
请问，我每天早上都晨勃正常吗,咨询生理现象
需要领养多长时间才能上班???恢复期是多久,咨询治愈时长
后期不治疗会有什么病症呢,咨询后果
下午跟您联系好吗,确定联系意愿
包皮手术后多久才能性生活,咨询治愈时长
需要休息几天吗,咨询治愈时长
这个手术效果怎么样,咨询疗效
我现在有龟头炎，做完了就没有了是吗？,咨询疗效
你打给我,确定联系意愿
我怕耽误治疗,描述情绪
男生经常射精会有什么影响,咨询后果
大概需要多长时间手术,咨询治愈时长
做手术了暂时不能过性生活,描述就诊史
大慨需要多少钱才能医好呢？,咨询价格
泌尿系统经常感染怎么回事,咨询病因
你们那边几点下班,咨询上班时间
要怎么办呢,咨询治疗方式
有没检查,咨询检查
静脉曲张需要做手术么？,咨询治疗方式
丢了，做小针刀害怕,描述情绪
李志民主任回来没,咨询专家
不喜欢医院,无
1371622****微信号,确定联系意愿
对以后有什么影响吗？,咨询后果
那要吃点什么合适呢,咨询食疗
费用大概是多少呢,咨询价格
不知道治好对生育有没有影响,咨询后果
挂号什么的没身份证行嘛,咨询挂号
我从今天，下体左边蛋蛋疼是怎么会事，就给磕碰的感觉似的,咨询病因
对，但是我听朋友说，他现在不在哪了，所以就想问问,无
射精太快怎么回事？,咨询病因
这个需要怎么治疗啊,咨询治疗方式
这病多长时间能恢复,咨询治愈时长
我去的时候与你联系,确定联系意愿
我前一段检查有前列腺增生，正在吃药,描述就诊史
你医院变三甲医院了吗,咨询公立私立
6还是7,无
挺不好意思的，第一次以为太紧张了，后来又试了几次虽然比第一次好，最好五分钟就结束了,描述症状
男人更年期怎么办,咨询治疗方式
我想跟您聊,无
心也累,描述情绪
住院多少钱一天,咨询价格
你告诉我该做些什么检查,咨询检查
我是怕疼，所以在迟迟犹豫做还是不做,描述情绪
检查这个到什么科室,咨询挂号
药物都吃啥啊。没有副作用吧,咨询药物
肾阴虚吃啥药啊,咨询药物
感觉很郁闷,描述情绪
积水潭医院,无
做了不是得包纱布！那怎么上班,无
467910834我的微信,确定联系意愿
开出租车,无
那我就地铁过来,无
我加你qq吧,咨询QQ
你们的化验费多少钱呢,咨询价格
电话 1565246**** QQ 3211948220，,确定联系意愿
一次都不能吗,无
如果不适应怎么办啊,咨询治疗方式
私立医院我们地方无法报销,无
怎么补,咨询治疗方式
你就回答我是不是公立的,咨询公立私立
那这样的话，需要我做什么检查才能确定呢,咨询检查
治疗还可以，又犯了,描述就诊史
直接去门诊挂号吗,咨询挂号
就是不拆线会不会长肉里，这种,咨询后果
916660987qq,确定联系意愿
勃起后十一厘米吧,描述症状
到了 你们那 是不是还要检查一遍,咨询检查
久坐那是必然的 上班就坐着 每个上班族都这样啊,无
位置在哪里呢,咨询地址
我排尿性功能都正常啊,描述症状
好的，您这边是医院的医生是吧，,咨询专家
如果补身体的话?那应该怎调理,咨询食疗
看着像，没去检查，打算去,描述就诊史
你是男大夫女大夫,无
你们几点下班,咨询上班时间
你要预约多少钱啊,咨询价格
陌生的,无
你好??我的微信1031284881,确定联系意愿
在医院医务科上班,无
哦好吧咱们医院在哪里压?,咨询地址
嗯呢你们是公立医院吗,咨询公立私立
那主要治疗呢,咨询治疗方式
我姓杨，郝医生您好,无
一次性设备,无
怎么讲,无
最近喜欢上了喝酒有影响吗？,咨询后果
开车过去,无
你好，包皮过长你们医院费用是多少,咨询价格
您推荐吃什么药,咨询药物
啊你说怎么办,咨询治疗方式
李志民主任回来了吧,咨询专家
没查过,描述就诊史
可能是什么原因造成,咨询病因
我是种地的，不会开车，也没有车,无
就第一个主任吧,咨询专家
如果割的话，费用多少,咨询价格
你是男大夫还是女？,无
我和媳妇是两地分居，2个月才能做在一起几天,描述频率
那该怎么班,咨询治疗方式
我老婆有了，治疗了一年多了，转阴了,描述就诊史
你们这医院能根治吗,咨询疗效
那该怎么办啊？,咨询治疗方式
我不能语音,无
不怕感染啊,无
微信号给我谢谢,咨询微信
那有空了去检查下,咨询检查
还有一般有病的话多久能好,咨询治愈时长
1773138****我微信号,确定联系意愿
吃啥哺肾,咨询食疗
检查一次多钱,咨询检查
那吃什么蔬菜呢,咨询食疗
您就告诉我吃什么药物吧,咨询药物
如何电话咨询,咨询电话
能说下大概需要多少钱吗,咨询价格
我就想问下在咱们医院医治早泄大概需要多少费用,咨询价格
尿道发炎应该吃什么药,咨询药物
很早之前的做的，,描述就诊史
那我该吃点什么药呢,咨询药物
我就是在你们医院检查的,描述就诊史
喝中药行吗,咨询药物
行，,无
为什么会牵扯整条左腿疼痛呢,咨询病因
我只有QQ,确定联系意愿
你们的地理位置在哪儿？,咨询地址
不可能的，到哪里我自己预约就好了,确定预约时间
明白了，你还是和其它的网上大夫一样，上医院检查,无
我在网上查，建议吃健脑补肾丸，这个药能吃吗,咨询药物
几点上班,咨询上班时间
吃什么东西硬的更快呀?,咨询食疗
打麻药吗,无
付,无
医疗户开户。搜狗、360?神马搜索推广账户??返点10%-40%。??需要的可以联系??望转达网络总监或主管。谢谢。QQ:2331297540,无
您微信多少我加您吧,咨询微信
正规大医院,咨询公立私立
不是我白天上班,无
没有看医生自己好了,描述就诊史
2433983070??qq,确定联系意愿
不好意思啊,无
熟悉的,无
哦，大概需要多少费用,咨询价格
您那是什么医院啊,咨询公司介绍
昨天晚上上了五次厕所,描述频率
不会加微信,确定联系意愿
你那是在哪啊,咨询地址
那我是告诉去医院看就可以了是吗,无
明天去你们医院看看,确定预约时间
他特别爱面子,描述情绪
